estado,nombre,periodo,partido
Colima,Silverio Cavazos (1968-2010),5 de mayo de 2005 - 31 de octubre de 2009,Partido Revolucionario Institucional
Colima,Mario Anguiano Moreno (1962),1 de noviembre de 2009 - 31 de octubre de 2015,Partido Revolucionario Institucional
Colima,Ramón Pérez Díaz (1946),1 de noviembre de 2015 - 10 de febrero de 2016,Partido Revolucionario Institucional
Colima,José Ignacio Peralta Sánchez (1970),11 de febrero de 2016 - 31 de octubre de 2021,Partido Revolucionario Institucional
Colima,Indira Vizcaíno Silva (1987),Desde el 1 de noviembre de 2021,Movimiento de Regeneración Nacional
Durango,Maximiliano Silerio Esparza (1939),15 de septiembre de 1992 - 14 de septiembre de 1998,Partido Revolucionario Institucional
Durango,Ángel Sergio Guerrero Mier (1935-2021),15 de septiembre de 1998 - 14 de septiembre de 2004,Partido Revolucionario Institucional
Durango,Ismael Hernández Deras (1964),15 de septiembre de 2004 - 14 de septiembre de 2010,Partido Revolucionario Institucional
Durango,Jorge Herrera Caldera (1963),15 de septiembre de 2010 - 14 de septiembre de 2016,Partido Revolucionario Institucional
Durango,José Rosas Aispuro Torres (1961),15 de septiembre de 2016 - 14 de septiembre de 2022,Partido Acción Nacional
Durango,Esteban Villegas Villarreal (1976),Desde el 15 de septiembre de 2022,Partido Revolucionario Institucional
Guanajuato,Carlos Medina Plascencia (1955),26 de septiembre de 1991 - 25 de junio de 1995,Partido Acción Nacional
Guanajuato,Vicente Fox Quesada (1942),26 de junio de 1995 - 7 de agosto de 1999,Partido Acción Nacional
Guanajuato,Ramón Martín Huerta (1957-2005),9 de agosto de 1999 - 25 de septiembre de 2000,Partido Acción Nacional
Guanajuato,Juan Carlos Romero Hicks (1955),26 de septiembre de 2000 - 25 de septiembre de 2006,Partido Acción Nacional
Guanajuato,Juan Manuel Oliva Ramírez (1960),26 de septiembre de 2006 - 29 de marzo de 2012,Partido Acción Nacional
Guanajuato,Héctor López Santillana (1957),29 de marzo de 2012 - 25 de septiembre de 2012,Partido Acción Nacional
Guanajuato,Miguel Márquez Márquez (1968),26 de septiembre de 2012 - 25 de septiembre de 2018,Partido Acción Nacional
Guanajuato,Diego Sinhue Rodríguez Vallejo (1980),26 de septiembre de 2018 - 25 de septiembre de 2024,Partido Acción Nacional
Guanajuato,Libia Dennise García Muñoz Ledo (1983),Desde el 26 de septiembre de 2024,Partido Acción Nacional
Guerrero,Rubén Figueroa Alcocer,1 de abril de 1993 - 12 de marzo de 1996,Partido Revolucionario Institucional
Guerrero,Ángel Aguirre Rivero,12 de marzo de 1996 - 31 de marzo de 1999,Partido Revolucionario Institucional
Guerrero,René Juárez Cisneros,1 de abril de 1999 - 31 de marzo de 2005,Partido Revolucionario Institucional
Guerrero,Zeferino Torreblanca Galindo,1 de abril de 2005 - 31 de marzo de 2011,Partido de la Revolución Democrática
Guerrero,Ángel Aguirre Rivero,1 de abril de 2011 - 24 de octubre de 2014,Partido de la Revolución Democrática
Guerrero,Jesús Martínez Garnelo,24 de octubre de 2014 - 26 de octubre de 2014,Independiente
Guerrero,Rogelio Ortega Martínez,26 de octubre de 2014 - 24 de abril de 2015,Partido de la Revolución Democrática
Guerrero,David Cienfuegos Salgado,24 de abril de 2015 - 27 de abril de 2015,Independiente
Guerrero,Rogelio Ortega Martínez,27 de abril de 2015 - 26 de octubre de 2015,Partido de la Revolución Democrática
Guerrero,Héctor Astudillo Flores,27 de octubre de 2015 - 14 de octubre de 2021,Partido Revolucionario Institucional
Guerrero,Evelyn Salgado Pineda,Desde el 15 de octubre de 2021,Movimiento de Regeneración Nacional
Hidalgo,Jesús Murillo Karam (1948),1 de abril de 1993 - 28 de octubre de 1998,Partido Revolucionario Institucional
Hidalgo,Humberto Lugo Gil (1934-2013),28 de octubre de 1998 - 31 de marzo de 1999,Partido Revolucionario Institucional
Hidalgo,Manuel Ángel Núñez Soto (1951),1 de abril de 1999 - 31 de marzo de 2005,Partido Revolucionario Institucional
Hidalgo,Miguel Ángel Osorio Chong (1964),1 de abril de 2005 - 31 de marzo de 2011,Partido Revolucionario Institucional
Hidalgo,José Francisco Olvera Ruiz (1956),1 de abril de 2011 - 4 de septiembre de 2016,Partido Revolucionario Institucional
Hidalgo,Omar Fayad Meneses (1962),5 de septiembre de 2016 - 4 de septiembre de 2022,Partido Revolucionario Institucional
Hidalgo,Julio Ramón Menchaca Salazar (1959),Desde el 5 de septiembre de 2022,Movimiento de Regeneración Nacional
Jalisco,Carlos Rivera Aceves (1941),1 de mayo de 1992 - 28 de febrero de 1995,Partido Revolucionario Institucional
Jalisco,Alberto Cárdenas Jiménez (1958),1 de marzo de 1995 - 28 de febrero de 2001,Partido Acción Nacional
Jalisco,Francisco Javier Ramírez Acuña (1952),1 de marzo de 2001 - 21 de noviembre de 2006,Partido Acción Nacional
Jalisco,Gerardo Octavio Solís Gómez (1957),21 de noviembre de 2006 - 28 de febrero de 2007,Independiente
Jalisco,Emilio González Márquez (1960),1 de marzo de 2007 - 28 de febrero de 2013,Partido Acción Nacional
Jalisco,Aristóteles Sandoval Díaz (1974-2020),1 de marzo de 2013 - 5 de diciembre de 2018,Partido Revolucionario Institucional
Jalisco,Enrique Alfaro Ramírez (1973),6 de diciembre de 2018 - 5 de diciembre de 2024,Movimiento Ciudadano
Jalisco,Pablo Lemus Navarro (1969),Desde el 6 de diciembre de 2024,Movimiento Ciudadano
Estado de México,Ignacio Pichardo Pagaza,11 de septiembre de 1989 - 15 de septiembre de 1993,Partido Revolucionario Institucional
Estado de México,Emilio Chuayffet Chemor,16 de septiembre de 1993 - 2 de julio de 1995,Partido Revolucionario Institucional
Estado de México,César Camacho Quiroz,2 de julio de 1995 - 15 de septiembre de 1999,Partido Revolucionario Institucional
Estado de México,Arturo Montiel Rojas,16 de septiembre de 1999 - 15 de septiembre de 2005,Partido Revolucionario Institucional
Estado de México,Enrique Peña Nieto,16 de septiembre de 2005-15 de septiembre de 2011,Partido Revolucionario Institucional
Estado de México,Eruviel Ávila Villegas,16 de septiembre de 2011 - 15 de septiembre de 2017,Partido Revolucionario Institucional
Estado de México,Alfredo del Mazo Maza,16 de septiembre de 2017 - 15 de septiembre de 2023,Partido Revolucionario Institucional
